                  epoch,         train/box_loss,         train/seg_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),   metrics/precision(M),      metrics/recall(M),       metrics/mAP50(M),    metrics/mAP50-95(M),           val/box_loss,           val/seg_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     24,                 1.0511,                 1.2029,                0.63725,                0.88112,                0.97427,                0.93122,                0.95865,                0.56214,                0.89734,                0.85975,                0.85469,                0.33307,                 1.2628,                 2.4347,                0.74208,                0.95867,              0.0016797,              0.0016797,              0.0016797
                     25,                 1.0517,                 1.1318,                0.65934,                0.88508,                0.97977,                0.94262,                0.97149,                0.59422,                0.89877,                0.87705,                0.87074,                0.37021,                 1.2808,                 2.9267,                0.71841,                0.95598,              0.0016651,              0.0016651,              0.0016651
                     26,                  1.148,                 1.3203,                0.68121,                0.93637,                0.99118,                0.92149,                0.97033,                0.62368,                 0.9295,                0.86451,                0.89516,                0.42931,                 1.1555,                 2.6307,                0.69273,                0.92181,              0.0016506,              0.0016506,              0.0016506
                     27,                 1.2258,                 1.3467,                0.73142,                0.91559,                0.99038,                0.90164,                0.94199,                0.56648,                0.88161,                0.80328,                0.77338,                0.29127,                 1.4312,                  2.963,                0.96502,                0.98153,               0.001636,               0.001636,               0.001636
                     28,                 1.1344,                 1.3313,                 0.6851,                0.92041,                0.97915,                0.90984,                0.95204,                0.56907,                0.86343,                0.77733,                0.74419,                0.29339,                 1.4569,                 2.9574,                0.80638,                 1.0246,              0.0016215,              0.0016215,              0.0016215
                     29,                 1.1497,                 1.2292,                0.64443,                0.92896,                0.99119,                0.92241,                0.96496,                0.60697,                0.92915,                0.86066,                0.84355,                0.37018,                 1.2633,                 2.6202,                 0.6797,                 0.9738,              0.0016069,              0.0016069,              0.0016069
                     30,                 1.1414,                 1.2084,                0.60222,                 0.9109,                0.98466,                0.92623,                0.96311,                0.60736,                0.92325,                0.86885,                0.85247,                0.38011,                 1.2321,                 2.4695,                0.70605,                0.94974,              0.0015924,              0.0015924,              0.0015924
                     31,                 1.1045,                  1.103,                0.59187,                0.90468,                0.96644,                0.90984,                0.93951,                0.54295,                0.90442,                0.85315,                0.84073,                0.33757,                 1.3452,                 2.4545,                0.73963,                0.96295,              0.0015778,              0.0015778,              0.0015778
                     32,                 1.0895,                 1.1257,                0.58194,                0.87964,                0.94877,                0.90984,                 0.9285,                0.53775,                0.88733,                0.85246,                0.82299,                0.32918,                 1.3081,                 2.2127,                 0.8333,                0.93852,              0.0015632,              0.0015632,              0.0015632
                     33,                 1.0782,                 1.2042,                0.60882,                0.88526,                 0.9567,                0.90563,                0.95029,                0.55164,                0.92215,                0.87382,                0.88483,                0.34482,                 1.3143,                 2.2011,                0.86411,                 0.9416,              0.0015487,              0.0015487,              0.0015487
                     34,                  1.083,                  1.021,                0.58101,                0.88222,                0.94933,                0.92153,                0.95003,                0.55873,                  0.924,                0.89694,                0.89672,                0.34163,                 1.2801,                 2.3679,                0.92671,                0.93759,              0.0015341,              0.0015341,              0.0015341
                     35,                 1.1053,                 1.2827,                0.61004,                0.92898,                0.97482,                0.95218,                0.97997,                0.57284,                0.89964,                0.87705,                0.83399,                0.30263,                 1.2481,                 2.2192,                0.89585,                 0.9429,              0.0015196,              0.0015196,              0.0015196
                     36,                 1.0422,                 1.1368,                0.57752,                0.90416,                0.97443,                0.96721,                0.97681,                0.61143,                0.89649,                0.89344,                0.84025,                 0.3167,                 1.1656,                 1.7738,                0.84374,                0.92518,               0.001505,               0.001505,               0.001505
                     37,                 1.0657,                 1.3787,                0.60315,                0.88008,                0.97498,                0.95832,                0.98732,                0.57264,                0.89972,                0.88255,                0.84775,                0.32341,                 1.2928,                 2.1726,                0.84528,                 0.9466,              0.0014904,              0.0014904,              0.0014904
                     38,                 1.0495,                 1.1817,                0.59335,                0.87898,                0.99146,                0.95169,                0.99182,                0.56674,                0.93174,                0.89509,                0.88989,                0.34392,                 1.3398,                 2.5681,                0.69779,                 0.9639,              0.0014759,              0.0014759,              0.0014759
                     39,                0.98534,                 1.1703,                0.57592,                0.86551,                0.97503,                0.96006,                0.99026,                0.58222,                0.90871,                0.89748,                0.86363,                0.36786,                 1.2902,                 2.9344,                0.76741,                0.96248,              0.0014613,              0.0014613,              0.0014613
                     40,                 0.9935,                 1.1028,                0.54261,                0.87126,                0.95226,                0.95902,                 0.9807,                0.58469,                0.88541,                0.89344,                0.84393,                0.34255,                 1.2115,                  2.967,                0.84821,                0.93891,              0.0014468,              0.0014468,              0.0014468
                     41,                  1.063,                 1.0645,                0.55847,                 0.9019,                0.92751,                0.95082,                 0.9429,                0.56917,                0.84755,                0.86885,                0.76732,                0.29755,                 1.2097,                 3.0476,                0.80884,                0.93099,              0.0014322,              0.0014322,              0.0014322
                     42,                 1.0091,                0.98443,                 0.5737,                0.87054,                0.93483,                0.90984,                0.95086,                0.55849,                0.88239,                0.86066,                0.84693,                0.32378,                 1.2482,                 3.0318,                0.80102,                0.92761,              0.0014176,              0.0014176,              0.0014176
                     43,                 1.0619,                 1.1917,                0.63582,                0.87703,                0.92986,                0.86936,                0.94693,                0.58698,                0.90356,                0.84477,                0.91777,                0.41043,                 1.2185,                 3.1366,                0.80738,                0.92969,              0.0014031,              0.0014031,              0.0014031
                     44,                 1.0784,                 1.0675,                0.65035,                0.90642,                0.94129,                0.93443,                0.95951,                0.63535,                0.91652,                0.90984,                0.93454,                0.44971,                 1.1447,                 3.0142,                0.62248,                0.92457,              0.0013885,              0.0013885,              0.0013885
                     45,                 1.0223,                 1.0228,                0.56117,                0.88122,                0.99117,                0.94262,                0.98172,                0.64739,                0.94762,                0.90164,                0.93728,                0.42525,                 1.1553,                 3.0272,                0.58319,                0.93186,               0.001374,               0.001374,               0.001374
                     46,                 0.9958,                  1.012,                0.57032,                0.86399,                0.98116,                0.95902,                0.98228,                0.63499,                0.92237,                0.90164,                0.89572,                0.38351,                 1.1945,                 3.2827,                0.56289,                0.93835,              0.0013594,              0.0013594,              0.0013594
                     47,                0.92871,                 1.0071,                0.52855,                0.86305,                0.99159,                0.96597,                0.98935,                0.67405,                0.94845,                0.91803,                0.93457,                0.43886,                 1.0897,                 2.7448,                0.52855,                0.90256,              0.0013449,              0.0013449,              0.0013449
                     48,                0.98442,                 1.1139,                0.52111,                0.88183,                0.98993,                0.95902,                0.98683,                0.65611,                0.94762,                0.91803,                0.93339,                0.47774,                  1.092,                 2.2957,                0.56181,                0.89683,              0.0013303,              0.0013303,              0.0013303
                     49,                 1.0123,                 1.0059,                0.53803,                0.85722,                0.98385,                0.93443,                0.98208,                0.60187,                0.93139,                0.88525,                0.92401,                0.45852,                 1.1714,                 2.1723,                0.61107,                0.90733,              0.0013157,              0.0013157,              0.0013157
                     50,                 1.0452,                 1.0048,                0.56037,                0.84427,                0.95941,                0.90984,                0.96356,                0.54998,                0.91743,                0.86885,                0.90635,                0.37494,                 1.3196,                 2.4755,                0.74921,                0.93465,              0.0013012,              0.0013012,              0.0013012
                     51,                 1.1129,                 1.1038,                0.58344,                0.88851,                0.96606,                0.93338,                0.97378,                0.59589,                0.93221,                0.90167,                0.93723,                0.43662,                 1.1777,                 1.9841,                0.66831,                0.91327,              0.0012866,              0.0012866,              0.0012866
                     52,                 1.0427,                0.98835,                0.54961,                 0.8904,                0.97954,                0.95082,                0.97463,                0.60877,                0.94569,                0.91803,                0.93076,                0.44756,                 1.1817,                 1.9314,                0.66647,                0.91644,              0.0012721,              0.0012721,              0.0012721
                     53,                 1.0414,                 0.8946,                0.53498,                0.86942,                0.95915,                0.96241,                0.97392,                 0.5873,                0.90806,                0.88525,                0.86482,                0.36165,                 1.2757,                 2.2571,                0.75355,                0.94367,              0.0012575,              0.0012575,              0.0012575
                     54,                 1.0409,                 1.1204,                0.56971,                0.89154,                0.95704,                0.96721,                0.97616,                0.55581,                0.89264,                0.88598,                0.85218,                0.28548,                 1.3583,                 2.8299,                0.63959,                0.95941,              0.0012429,              0.0012429,              0.0012429
                     55,                 1.0319,                 1.1765,                0.53833,                0.88898,                0.96151,                0.95902,                0.97715,                0.60145,                0.90331,                0.90164,                0.86733,                0.32556,                 1.1925,                  2.489,                0.64238,                0.91781,              0.0012284,              0.0012284,              0.0012284
                     56,                 1.0015,                0.98346,                0.53052,                0.87751,                0.97503,                0.96039,                0.99086,                0.63906,                0.93346,                0.91993,                0.91328,                0.39094,                 1.0483,                 1.8086,                0.62383,                0.89449,              0.0012138,              0.0012138,              0.0012138
                     57,                0.99804,                 0.9581,                0.52696,                0.87895,                0.96402,                0.95902,                0.98812,                0.65778,                0.92283,                0.91803,                0.91527,                0.40435,                 1.0629,                 1.6712,                0.65575,                0.89328,              0.0011993,              0.0011993,              0.0011993
                     58,                 1.0029,                 1.0202,                0.52003,                0.86507,                0.95379,                0.95902,                0.98261,                0.60333,                 0.9129,                0.91803,                0.90794,                0.37628,                 1.1687,                 1.8582,                0.71244,                0.90972,              0.0011847,              0.0011847,              0.0011847
                     59,                 1.0646,                 1.0222,                0.55858,                0.87018,                 0.9588,                0.95374,                0.97554,                0.55692,                0.91764,                0.91323,                0.90028,                0.36233,                 1.3155,                   1.86,                0.70309,                0.92894,              0.0011701,              0.0011701,              0.0011701
                     60,                0.94759,                0.98026,                0.53763,                0.88455,                0.98313,                0.95564,                0.97652,                 0.6017,                0.94101,                0.91531,                0.90977,                0.39402,                  1.164,                 1.7096,                0.61773,                0.90428,              0.0011556,              0.0011556,              0.0011556
                     61,                0.96026,                0.92752,                0.50871,                0.86042,                 0.9829,                0.94234,                0.97237,                0.61319,                0.91453,                0.87703,                0.87071,                0.38896,                  1.162,                 1.8715,                0.59099,                0.90622,               0.001141,               0.001141,               0.001141
                     62,                0.92411,                 1.1218,                0.49665,                 0.8615,                 0.9829,                0.94218,                 0.9734,                0.60888,                0.90547,                0.86371,                0.85912,                 0.3452,                 1.2516,                 2.1977,                0.59048,                0.92436,              0.0011265,              0.0011265,              0.0011265
                     63,                0.91184,                0.93701,                0.46654,                0.86118,                0.97459,                0.94296,                0.97639,                0.60827,                0.90503,                0.85924,                0.84097,                0.33435,                 1.2722,                 2.6849,                 0.5772,                0.93975,              0.0011119,              0.0011119,              0.0011119
                     64,                0.94345,                 1.0102,                0.47469,                0.86918,                0.98303,                0.94939,                0.97941,                0.64055,                0.91514,                0.88399,                0.87476,                0.36979,                 1.1833,                 2.6391,                 0.5645,                0.92622,              0.0010974,              0.0010974,              0.0010974
                     65,                0.93186,                 1.0039,                0.48662,                0.85928,                0.97112,                0.95082,                0.97557,                 0.6387,                0.92926,                0.90984,                0.90689,                 0.3782,                 1.1581,                 2.5829,                0.55677,                0.91821,              0.0010828,              0.0010828,              0.0010828
                     66,                0.91116,                 1.0425,                0.47479,                0.87543,                0.96839,                0.95082,                0.97855,                0.63116,                0.92665,                0.90984,                0.91132,                0.34858,                 1.1646,                   2.66,                0.55924,                0.91637,              0.0010682,              0.0010682,              0.0010682
                     67,                0.95103,                0.91576,                0.49423,                0.86157,                0.98377,                0.95902,                0.98371,                0.61254,                0.93272,                0.90984,                0.90235,                0.36994,                 1.1434,                 2.3564,                0.55202,                0.90103,              0.0010537,              0.0010537,              0.0010537
                     68,                0.90866,                0.88142,                0.48401,                0.86095,                0.98721,                0.95902,                0.99154,                0.60307,                 0.9357,                0.90984,                0.91398,                0.38721,                 1.1371,                 2.5723,                0.55362,                0.89711,              0.0010391,              0.0010391,              0.0010391
                     69,                0.87184,                0.93719,                0.46114,                0.85685,                0.98194,                0.96721,                0.99117,                0.61269,                0.90685,                0.89344,                0.86937,                0.36829,                 1.1625,                  3.173,                0.55304,                0.90137,              0.0010246,              0.0010246,              0.0010246
                     70,                0.95097,                0.91407,                0.47765,                0.88543,                0.97182,                0.96721,                0.98874,                0.63184,                0.90509,                0.90164,                0.88558,                0.36821,                 1.1185,                 3.1884,                   0.55,                0.89667,                0.00101,                0.00101,                0.00101
                     71,                0.92986,                0.99662,                 0.4697,                0.86255,                0.97262,                0.96721,                0.98626,                0.63558,                0.91492,                0.90984,                0.89756,                0.34624,                 1.1425,                 3.4747,                0.55053,                0.90425,             0.00099544,             0.00099544,             0.00099544
                     72,                0.92484,                0.97448,                0.46945,                0.85792,                0.97528,                0.97031,                0.98472,                0.65242,                0.91765,                0.91341,                0.89369,                0.36897,                 1.1281,                 3.5637,                0.54724,                0.90555,             0.00098088,             0.00098088,             0.00098088
                     73,                0.85649,                 1.0033,                0.46577,                0.82921,                  0.971,                0.97541,                0.98301,                0.64654,                0.91388,                0.91803,                0.89092,                 0.3791,                 1.1554,                   3.52,                0.55898,                0.91594,             0.00096632,             0.00096632,             0.00096632
                     74,                0.89976,                0.97636,                0.47267,                0.83167,                0.95903,                0.96721,                0.97701,                0.63522,                0.92207,                0.87283,                0.86821,                0.37038,                 1.1862,                 3.2516,                0.57597,                0.92595,             0.00095176,             0.00095176,             0.00095176
                     75,                0.91873,                 0.9861,                0.47303,                0.85218,                0.94962,                0.92707,                0.95885,                0.57931,                0.87402,                0.85303,                0.83585,                0.31276,                 1.3022,                 2.7877,                0.75326,                0.95082,             0.00093721,             0.00093721,             0.00093721
                     76,                0.91068,                 0.9253,                0.48195,                0.86219,                0.95896,                0.95766,                0.97158,                0.59685,                0.90971,                0.90848,                0.88215,                0.33265,                 1.2827,                 2.4395,                0.61448,                0.94395,             0.00092265,             0.00092265,             0.00092265
                     77,                0.90473,                0.96825,                0.48349,                0.87215,                 0.9813,                0.96721,                0.98413,                 0.6116,                0.93955,                0.92623,                0.92255,                0.36882,                 1.2082,                 2.2768,                0.57244,                0.92468,             0.00090809,             0.00090809,             0.00090809
                     78,                0.84766,                  1.032,                0.43969,                0.84584,                0.98012,                0.96721,                0.98518,                0.61819,                0.93009,                0.91803,                0.90689,                0.36575,                 1.1735,                 2.2742,                0.54852,                0.91444,             0.00089353,             0.00089353,             0.00089353
                     79,                0.84855,                0.85218,                 0.4571,                 0.8711,                0.98081,                0.96721,                0.98543,                 0.6184,                0.92216,                0.90984,                0.88894,                0.37522,                 1.1629,                 2.3291,                0.53215,                0.91226,             0.00087897,             0.00087897,             0.00087897
                     80,                0.87167,                0.87366,                0.45697,                0.86747,                0.99122,                0.95902,                0.98514,                0.62834,                0.92305,                0.89344,                 0.8801,                 0.3615,                 1.1535,                 2.3332,                0.51865,                0.91188,             0.00086441,             0.00086441,             0.00086441
                     81,                0.85907,                0.89166,                0.45141,                  0.839,                0.98887,                0.95902,                0.98371,                0.64199,                0.92102,                0.89344,                0.89178,                 0.3563,                 1.1533,                  2.205,                0.51835,                0.91079,             0.00084985,             0.00084985,             0.00084985
                     82,                0.91514,                0.96281,                0.48154,                0.85665,                0.98811,                0.95902,                0.98228,                0.64082,                0.93704,                0.90984,                0.90506,                0.34485,                 1.1898,                 2.1125,                0.52995,                0.91054,             0.00083529,             0.00083529,             0.00083529
                     83,                0.94568,                0.92666,                0.46875,                0.86273,                0.97922,                0.95902,                0.97993,                0.58852,                0.90381,                0.88525,                0.86228,                0.31668,                 1.3071,                 2.2906,                0.60253,                0.93185,             0.00082074,             0.00082074,             0.00082074
                     84,                0.92633,                 1.0963,                0.47242,                0.87874,                0.97404,                0.95902,                 0.9798,                0.61478,                0.89873,                0.88525,                0.86297,                0.35973,                 1.2377,                 2.1988,                0.58187,                0.92045,             0.00080618,             0.00080618,             0.00080618
